ก.	k-@@-z^-0|
ทายาท	th-aa-z^-0|j-aa-t^-2|
ทารก	th-aa-z^-0|r-o-k^-3|
ทารุณ	th-aa-z^-0|r-u-n^-0|
ทาส	th-aa-t^-2|
ทำ	th-a-m^-0|
ทำกิน	th-a-m^-0|k-i-n^-0|
ทำครัว	th-a-m^-0|khr-uua-z^-0|
ทำงาน	th-a-m^-0|ng-aa-n^-0|
ทำท่า	th-a-m^-0|th-aa-z^-2|
ทำนอง	th-a-m^-0|n-@@-ng^-0|
ทำนองคลองธรรม	th-a-m^-0|n-@@-ng^-0|khl-@@-ng^-0|th-a-m^-0|
ทำนา	th-a-m^-0|n-aa-z^-0|
ทำนาย	th-a-m^-0|n-aa-j^-0|
ทำนุ	th-a-m^-0|n-u-z^-3|
ทำมาหากิน	th-a-m^-0|m-aa-z^-0|h-aa-z^-4|k-i-n^-0|
ทำร้าย	th-a-m^-0|r-aa-j^-3|
ทำลาย	th-a-m^-0|l-aa-j^-0|
ทำลายล้าง	th-a-m^-0|l-aa-j^-0|l-aa-ng^-3|
ทำเล	th-a-m^-0|l-ee-z^-0|
ทำใจ	th-a-m^-0|c-a-j^-0|
ทำให้	th-a-m^-0|h-a-j^-2|
ทำไม	th-a-m^-0|m-a-j^-0|
ทิศ	th-i-t^-3|
ทิศทาง	th-i-t^-3|th-aa-ng^-0|
ทิ้ง	th-i-ng^-3|
ที	th-ii-z^-0|
ทีท่า	th-ii-z^-0|th-aa-z^-2|
ทีนี้	th-ii-z^-0|n-ii-z^-3|
ทีม	th-ii-m^-0|
ทีละ	th-ii-z^-0|l-a-z^-3|
ทีเดียว	th-ii-z^-0|d-iia-w^-0|
ที่	th-ii-z^-2|
ที่ชัง	th-ii-z^-2|ch-a-ng^-0|
ที่ดิน	th-ii-z^-2|d-i-n^-0|
ที่ทำการ	th-ii-z^-2|th-a-m^-0|k-aa-n^-0|
ที่ทำงาน	th-ii-z^-2|th-a-m^-0|ng-aa-n^-0|
ที่นั่น	th-ii-z^-2|n-a-n^-2|
ที่นี่	th-ii-z^-2|n-ii-z^-2|
ที่นี้	th-ii-z^-2|n-ii-z^-3|
ที่ประชุม	th-ii-z^-2|pr-a-z^-1|ch-u-m^-0|
ที่ปรึกษา	th-ii-z^-2|pr-v-k^-1|s-aa-z^-4|
ที่พึ่ง	th-ii-z^-2|ph-v-ng^-2|
ที่มั่น	th-ii-z^-2|m-a-n^-2|
ที่มา	th-ii-z^-2|m-aa-z^-0|
ที่รัก	th-ii-z^-2|r-a-k^-3|
ที่สุด	th-ii-z^-2|s-u-t^-1|
ที่หมาย	th-ii-z^-2|m-aa-j^-4|
ที่อยู่	th-ii-z^-2|j-uu-z^-1|
ที่แล้ว	th-ii-z^-2|l-xx-w^-3|
ทึ่ง	th-v-ng^-2|
ทุก	th-u-k^-3|
ทุกขัง	th-u-k^-3|kh-a-ng^-4|
ทุกข์	th-u-k^-3|
ทุกข์ร้อน	th-u-k^-3|r-@@-n^-3|
ทุกคน	th-u-k^-3|kh-o-n^-0|
ทุกที	th-u-k^-3|th-ii-z^-0|
ทุกวัน	th-u-k^-3|w-a-n^-0|
ทุกวันนี้	th-u-k^-3|w-a-n^-0|n-ii-z^-3|
ทุกสิ่ง	th-u-k^-3|s-i-ng^-1|
ทุกอย่าง	th-u-k^-3|j-aa-ng^-1|
ทุจริต	th-u-t^-3|c-a-z^-1|r-i-t^-1|
ทุจริต	th-u-z^-3|c-a-z^-1|r-i-t^-1|
ทุติยภูมิ	th-u-z^-3|t-i-z^-1|j-a-z^-3|ph-uu-m^-0|
ทุน	th-u-n^-0|
ทุนทรัพย์	th-u-n^-0|n-a-z^-3|s-a-p^-3|
ทุนนิยม	th-u-n^-0|n-i-z^-3|j-o-m^-0|
ทุนเดิม	th-u-n^-0|d-qq-m^-0|
ทุ่ง	th-u-ng^-2|
ทุ่ม	th-u-m^-2|
ทุ่มเท	th-u-m^-2|th-ee-z^-0|
ทูต	th-uu-t^-2|
ทูน่า	th-uu-z^-0|n-aa-z^-2|
ท่วมท้น	th-uua-m^-2|th-o-n^-3|
ท่อ	th-@@-z^-2|
ท่องเที่ยว	th-@-ng^-2|th-iia-w^-2|
ท่องเที่ยว	th-@@-ng^-2|th-iia-w^-2|
ท่าทาง	th-aa-z^-2|th-aa-ng^-0|
ท่าที	th-aa-z^-2|th-ii-z^-0|
ท่าน	th-a-n^-2|
ท่าม	th-aa-m^-2|
ท่ามกลาง	th-aa-m^-2|kl-aa-ng^-0|
ท่าเรือ	th-aa-z^-2|r-vva-z^-0|
ท้วงติง	th-uua-ng^-3|t-i-ng^-0|
ท้อง	th-@@-ng^-3|
ท้องถิ่น	th-@@-ng^-3|th-i-n^-1|
ท้องที่	th-@@-ng^-3|th-ii-z^-2|
ท้องเรื่อง	th-@@-ng^-3|r-vva-ng^-2|
ท้อถอย	th-@@-z^-3|th-@-j^-4|
ท้าทาย	th-aa-z^-3|th-aa-j^-0|
ท้าย	th-aa-j^-3|
ท้าว	th-aa-w^-3|
ธนบัตร	th-a-z^-3|n-a-z^-3|b-a-t^-1|
ธนาคาร	th-a-z^-3|n-aa-z^-0|kh-aa-n^-0|
ธรรม	th-a-m^-0|
ธรรมชาติ	th-a-m^-0|m-a-z^-3|ch-aa-t^-2|
ธรรมดา	th-a-m^-0|m-a-z^-3|d-aa-z^-0|
ธรรมนูญ	th-a-m^-0|m-a-z^-3|n-uu-n^-0|
ธรรมราชา	th-a-m^-0|m-a-z^-3|r-aa-z^-0|ch-aa-z^-0|
ธรรมราชาลิไท	th-a-m^-0|m-a-z^-3|r-aa-z^-0|ch-aa-z^-0|l-i-z^-3|th-a-j^-0|
ธรรมศาสตร์	th-a-m^-0|m-a-z^-3|s-aa-t^-1|
ธรรมะ	th-a-m^-0|m-a-z^-3|
ธรรมเนียม	th-a-m^-0|n-iia-m^-0|
ธวาณัติก์	th-a-z^-3|w-aa-z^-0|n-a-t^-3|
ธัญญาหาร	th-a-n^-0|j-aa-z^-0|h-aa-n^-4|
ธันวาคม	th-a-n^-0|w-aa-z^-0|kh-o-m^-0|
ธาตุ	th-aa-t^-2|
ธาร	th-aa-n^-0|
ธิดา	th-i-z^-3|d-aa-z^-0|
ธีระสวัสดิ์	th-ii-z^-0|r-a-z^-3|s-a-z^-1|w-a-t^-1|
ธุรกิจ	th-u-z^-3|r-a-z^-3|k-i-t^-1|
ธุระ	th-u-z^-3|r-a-z^-3|
ธุลี	th-u-z^-3|l-ii-z^-0|
ธูป	th-uu-p^-2|
น.	n-@@-z^-0|
นก	n-o-k^-3|
นคร	n-a-z^-3|kh-@@-n^-0|
นครนายก	n-a-z^-3|kh-@@-n^-0|n-aa-z^-0|j-o-k^-3|
นครบาล	n-a-z^-3|kh-@@-n^-0|b-aa-n^-0|
นครศรีธรรมราช	n-a-z^-3|kh-@@-n^-0|s-ii-z^-4|th-a-m^-0|m-a-z^-3|r-aa-t^-2|
นม	n-o-m^-0|
นมนาน	n-o-m^-0|n-aa-n^-0|
นริศรา	n-a-z^-3|r-i-t^-3|s-a-z^-1|r-aa-z^-0|
นริศรานุวัดติวงศ์	n-a-z^-3|r-i-t^-3|s-a-z^-1|r-aa-z^-0|n-u-z^-3|w-a-t^-3|t-i-z^-1|w-o-ng^-0|
นวนิยาย	n-a-z^-3|w-a-z^-3|n-i-z^-3|j-aa-j^-0|
นอ	n-@@-z^-0|
นอก	n-@@-k^-2|
นอกจาก	n-@@-k^-2|c-aa-k^-1|
นอกจากนั้น	n-@@-k^-2|c-aa-k^-1|n-a-n^-3|
นอกจากนี้	n-@@-k^-2|c-aa-k^-1|n-ii-z^-3|
นอกทาง	n-@@-k^-2|th-aa-ng^-0|
นอกลู่	n-@@-k^-2|l-uu-z^-2|
นอกเหนือ	n-@@-k^-2|n-vva-z^-4|
นองเลือด	n-@@-ng^-0|l-vva-t^-2|
นอน	n-@@-n^-0|
นอนหลับ	n-@@-n^-0|l-a-p^-1|
นอบน้อม	n-@@-p^-2|n-@@-m^-3|
นะ	n-a-z^-3|
นัก	n-a-k^-3|
นักการเมือง	n-a-k^-3|k-aa-n^-0|m-vva-ng^-0|
นักจิตวิทยา	n-a-k^-3|c-i-t^-1|t-a-z^-1|w-i-t^-3|th-a-z^-3|j-aa-z^-0|
นักดนตรี	n-a-k^-3|d-o-n^-0|tr-ii-z^-0|
นักท่องเที่ยว	n-a-k^-3|th-@-ng^-2|th-iia-w^-2|
นักธรรม	n-a-k^-3|th-a-m^-0|
นักธุรกิจ	n-a-k^-3|th-u-z^-3|r-a-z^-3|k-i-t^-1|
นักบิน	n-a-k^-3|b-i-n^-0|
นักปราชญ์	n-a-k^-3|pr-aa-t^-1|
นักมวย	n-a-k^-3|m-uua-j^-0|
นักมานุษยวิทยา	n-a-k^-3|m-aa-z^-0|n-u-t^-3|s-a-z^-1|j-a-z^-3|w-i-t^-3|th-a-z^-3|j-aa-z^-0|
นักรบ	n-a-k^-3|r-o-p^-3|
นักร้อง	n-a-k^-3|r-@@-ng^-3|
นักลงทุน	n-a-k^-3|l-o-ng^-0|th-u-n^-0|
นักวิจัย	n-a-k^-3|w-i-z^-3|c-a-j^-0|
นักวิจารณ์	n-a-k^-3|w-i-z^-3|c-aa-n^-0|
นักวิชาการ	n-a-k^-3|w-i-z^-3|ch-aa-z^-0|k-aa-n^-0|
นักวิทยาศาสตร์	n-a-k^-3|w-i-t^-3|th-a-z^-3|j-aa-z^-0|s-aa-t^-1|
นักศึกษา	n-a-k^-3|s-v-k^-1|s-aa-z^-4|
นักหนา	n-a-k^-3|n-aa-z^-4|
นักอ่าน	n-a-k^-3|z-aa-n^-1|
นักเขียน	n-a-k^-3|kh-iia-n^-4|
นักเรียน	n-a-k^-3|r-iia-n^-0|
นักโทษ	n-a-k^-3|th-oo-t^-2|
นัด	n-a-t^-3|
นัดหมาย	n-a-t^-3|m-aa-j^-4|
นับ	n-a-p^-3|
นับถือ	n-a-p^-3|th-vv-z^-4|
นับแต่	n-a-p^-3|t-xx-z^-1|
นัย	n-a-j^-0|
นัย	n-a-j^-0|j-a-z^-3|
นัยสำคัญ	n-a-j^-0|j-a-z^-3|s-a-m^-4|kh-a-n^-0|
นั่ง	n-a-ng^-2|
นั่น	n-a-n^-2|
นั่นเอง	n-a-n^-2|z-ee-ng^-0|
นั้น	n-a-n^-3|
นา	n-aa-z^-0|
นาค	n-aa-k^-2|
นาง	n-aa-ng^-0|
นางเอก	n-aa-ng^-0|z-ee-k^-1|
นาจิบุลลาห์	n-aa-z^-0|c-i-z^-1|b-u-n^-0|l-aa-z^-0|
นาฏศิลป์	n-aa-t^-2|t-a-z^-1|s-i-n^-4|
นาที	n-aa-z^-0|th-ii-z^-0|
นาน	n-aa-n^-0|
นานา	n-aa-z^-0|n-aa-z^-0|
นานาชาติ	n-aa-z^-0|n-aa-z^-0|ch-aa-t^-2|
นาปรัง	n-aa-z^-0|pr-a-ng^-0|
นาม	n-aa-m^-0|
นามธรรม	n-aa-m^-0|m-a-z^-3|th-a-m^-0|
นาย	n-aa-j^-0|
นายก	n-aa-z^-0|j-o-k^-3|
นายกรัฐมนตรี	n-aa-z^-0|j-o-k^-3|r-a-t^-3|th-a-z^-1|m-o-n^-0|tr-ii-z^-0|
นายจ้าง	n-aa-j^-0|c-aa-ng^-2|
นายทหาร	n-aa-j^-0|th-a-z^-3|h-aa-n^-4|
นายทุน	n-aa-j^-0|th-u-n^-0|
นายพล	n-aa-j^-0|ph-o-n^-0|
นายร้อย	n-aa-j^-0|r-@@-j^-3|
นายแพทย์	n-aa-j^-0|ph-xx-t^-2|
นำ	n-a-m^-0|
นำทาง	n-a-m^-0|th-aa-ng^-0|
นำมา	n-a-m^-0|m-aa-z^-0|
นำเข้า	n-a-m^-0|kh-a-w^-2|
นำเสนอ	n-a-m^-0|s-a-z^-1|n-qq-z^-4|
นิกร	n-i-z^-3|k-@@-n^-0|
นิกสัน	n-i-k^-3|s-a-n^-4|
นิกส์	n-i-k^-3|
นิคม	n-i-z^-3|kh-o-m^-0|
นิด	n-i-t^-3|
นิดหน่อย	n-i-t^-3|n-@-j^-1|
นิดเดียว	n-i-t^-3|d-iia-w^-0|
นิติบัญญัติ	n-i-z^-3|t-i-z^-1|b-a-n^-0|j-a-t^-1|
นิติภาวะ	n-i-z^-3|t-i-z^-1|ph-aa-z^-0|w-a-z^-3|
นิติศาสตร์	n-i-t^-3|t-i-z^-1|s-aa-t^-1|
นิทรรศการ	n-i-z^-3|th-a-t^-3|s-a-z^-1|k-aa-n^-0|
นิทาน	n-i-z^-3|th-aa-n^-0|
นิธิ	n-i-z^-3|th-i-z^-3|
นิพนธ์	n-i-z^-3|ph-o-n^-0|
นิพพาน	n-i-p^-3|ph-aa-n^-0|
นิมนต์	n-i-z^-3|m-o-n^-0|
นิมิตหมาย	n-i-z^-3|m-i-t^-3|m-aa-j^-4|
นิยม	n-i-z^-3|j-o-m^-0|
นิยาม	n-i-z^-3|j-aa-m^-0|
นิยาย	n-i-z^-3|j-aa-j^-0|
นิรันดร์	n-i-z^-3|r-a-n^-0|
นิรันศักดิ์	n-i-z^-3|r-a-n^-0|s-a-k^-1|
นิราศ	n-i-z^-3|r-aa-t^-2|
นิวยอร์ค	n-i-w^-0|j-@@-k^-1|
นิวเคลียร์	n-i-w^-0|khl-iia-z^-0|
นิสัย	n-i-z^-3|s-a-j^-4|
นิสิต	n-i-z^-3|s-i-t^-1|
นิเวศวิทยา	n-i-z^-3|w-ee-t^-2|w-i-t^-3|th-a-z^-3|j-aa-z^-0|
นิ่ง	n-i-ng^-2|
นี่	n-ii-z^-2|
นี่เอง	n-ii-z^-2|z-ee-ng^-0|
นี่แหละ	n-ii-z^-2|l-x-z^-1|
นี้	n-ii-z^-3|
นึก	n-v-k^-3|
นึกคิด	n-v-k^-3|kh-i-t^-3|
นึกถึง	n-v-k^-3|th-v-ng^-4|
นุกูล	n-u-z^-3|k-uu-n^-0|
นุวัดติวงศ์	n-u-z^-3|w-a-t^-3|t-i-z^-1|w-o-ng^-0|
นุ่ง	n-u-ng^-2|
นุ่มนวล	n-u-m^-2|n-uua-n^-0|
นุ่มนิ่ม	n-u-m^-2|n-i-m^-2|
นเรศวร	n-a-z^-3|r-ee-z^-0|s-uua-n^-4|
นโยบาย	n-a-z^-3|j-oo-z^-0|b-aa-j^-0|
น่ะ	n-a-z^-2|
น่า	n-aa-z^-2|
น่ากลัว	n-aa-z^-2|kl-uua-z^-0|
น่าคิด	n-aa-z^-2|kh-i-t^-3|
น่าจะ	n-aa-z^-2|c-a-z^-1|
น่าดู	n-aa-z^-2|d-uu-z^-0|
น่าฟัง	n-aa-z^-2|f-a-ng^-0|
น่ารัก	n-aa-z^-2|r-a-k^-3|
น้อง	n-@@-ng^-3|
น้อม	n-@@-m^-3|
น้อย	n-@@-j^-3|
น้อยเนื้อต่ำใจ	n-@@-j^-3|n-vva-z^-3|t-a-m^-1|c-a-j^-0|
น้า	n-aa-z^-3|
น้ำ	n-aa-m^-3|
น้ำกาม	n-aa-m^-3|k-aa-m^-0|
น้ำดื่ม	n-aa-m^-3|d-vv-m^-1|
น้ำตาล	n-aa-m^-3|t-aa-n^-0|
น้ำมัน	n-a-m^-3|m-a-n^-0|
น้ำมัน	n-aa-m^-3|m-a-n^-0|
น้ำมันดิบ	n-aa-m^-3|m-a-n^-0|d-i-p^-1|
น้ำลาย	n-aa-m^-3|l-aa-j^-0|
น้ำหนัก	n-a-m^-3|n-a-k^-1|
น้ำหนึ่ง	n-aa-m^-3|n-v-ng^-1|
น้ำเสีย	n-aa-m^-3|s-iia-z^-4|
น้ำเสียง	n-aa-m^-3|s-iia-ng^-4|
น้ำใจ	n-aa-m^-3|c-a-j^-0|
บก	b-o-k^-1|
บก.	b-@@-z^-0|k-@@-z^-0|
บกพร่อง	b-o-k^-1|phr-@-ng^-2|
บกพร่อง	b-o-k^-1|phr-@@-ng^-2|
บงการ	b-o-ng^-0|k-aa-n^-0|
บท	b-o-t^-1|
บทความ	b-o-t^-1|khw-aa-m^-0|
บทบัญญัติ	b-o-t^-1|b-a-n^-0|j-a-t^-1|
บทบาท	b-o-t^-1|b-aa-t^-1|
บทเรียน	b-o-t^-1|r-iia-n^-0|
บน	b-o-n^-0|
บรมครู	b-@@-z^-0|r-o-m^-0|m-a-z^-3|khr-uu-z^-0|
บรมวงศ์เธอ	b-@@-z^-0|r-o-m^-0|m-a-z^-3|w-o-ng^-0|th-qq-z^-0|
บรรจบ	b-a-n^-0|c-o-p^-1|
บรรจุ	b-a-n^-0|c-u-z^-1|
บรรดา	b-a-n^-0|d-aa-z^-0|
บรรทัด	b-a-n^-0|th-a-t^-3|
บรรพชน	b-a-n^-0|ph-a-z^-3|ch-o-n^-0|
บรรพบุรุษ	b-a-n^-0|ph-a-z^-3|b-u-z^-1|r-u-t^-1|
บรรยากาศ	b-a-n^-0|j-aa-z^-0|k-aa-t^-1|
บรรยาย	b-a-n^-0|j-aa-j^-0|
บรรลุ	b-a-n^-0|l-u-z^-3|
บรรษัท	b-a-n^-0|s-a-t^-1|
บรรเทา	b-a-n^-0|th-a-w^-0|
บรรเลง	b-a-n^-0|l-ee-ng^-0|
บริการ	b-@@-z^-0|r-i-z^-3|k-aa-n^-0|
บริจาค	b-@@-z^-0|r-i-z^-3|c-aa-k^-1|
บริบท	b-@@-z^-0|r-i-z^-3|b-o-t^-1|
บริบูรณ์	b-@@-z^-0|r-i-z^-3|b-uu-n^-0|
บริวาร	b-@@-z^-0|r-i-z^-3|w-aa-n^-0|
บริษัท	b-@@-z^-0|r-i-z^-3|s-a-t^-1|
บริสุทธิ์	b-@@-z^-0|r-i-z^-3|s-u-t^-1|
บริหาร	b-@@-z-^-0|r-i-z^-3|h-aa-n^-4|
บริหาร	b-@@-z^-0|r-i-z^-3|h-aa-n^-4|
บริเวณ	b-@@-z^-0|r-i-z^-3|w-ee-n^-0|
บริโภค	b-@@-z-^-0|r-i-z^-3|ph-oo-k^-2|
บริโภค	b-@@-z^-0|r-i-z^-3|ph-oo-k^-2|
บล็อค	bl-@-k^-3|
บวก	b-uua-k^-1|
บวช	b-uua-t^-1|
บวรนิเวศน์	b-@@-z^-0|w-@@-n^-0|n-i-z^-3|w-ee-t^-2|
บวรศักดิ์	b-a-z^-1|w-@@-n^-0|s-a-k^-1|
บอก	b-@@-k^-1|
บอกเล่า	b-@@-k^-1|l-a-w^-2|
บอกใบ้	b-@@-k^-1|b-a-j^-2|
บอด	b-@@-t^-1|
บอริส	b-@@-z^-0|r-i-s^-3|
บอริส	b-@@-z^-0|r-i-t^-3|
บัคเตรี	b-a-k^-1|t-ee-z^-0|r-ii-z^-0|
บังคับ	b-a-ng^-0|kh-a-p^-3|
บังคับการ	b-a-ng^-0|kh-a-p^-3|k-aa-n^-0|
บังคับบัญชา	b-a-ng^-0|kh-a-p^-3|b-a-n^-0|ch-aa-z^-0|
บังอาจ	b-a-ng^-0|z-aa-t^-1|
บังเกิด	b-a-ng^-0|k-qq-t^-1|
บังเอิญ	b-a-ng^-0|z-qq-n^-0|
บัญชร	b-a-n^-0|ch-@@-n^-0|
บัญชาการ	b-a-n^-0|ch-aa-z^-0|k-aa-n^-0|
บัญชี	b-a-n^-0|ch-ii-z^-0|
บัญชีเดินสะพัด	b-a-n^-0|ch-ii-z^-0|d-qq-n^-0|s-a-z^-1|ph-a-t^-3|
บัญญัติ	b-a-n^-0|j-a-t^-1|
บัญญัติ	b-a-n^-0|j-a-t^-3|
บัณฑิต	b-a-n^-0|d-i-t^-1|
บัดนั้น	b-a-t^-1|n-a-n^-3|
บัดนี้	b-a-t^-1|n-ii-z^-3|
บัตร	b-a-t^-1|
บันดาล	b-a-n^-0|d-aa-n^-0|
บันทึก	b-a-n^-0|th-v-k^-3|
บันเทิง	b-a-n^-0|th-qq-ng^-0|
บันได	b-a-n^-0|d-a-j^-0|
บัว	b-uua-z^-0|
บัวหลวง	b-uua-z^-0|l-uua-ng^-4|
บั้นปลาย	b-a-n^-2|pl-aa-j^-0|
บาง	b-aa-ng^-0|
บางที	b-aa-ng^-0|th-ii-z^-0|
บาดเจ็บ	b-aa-t^-1|c-e-p^-1|
บาท	b-aa-t^-1|
บาป	b-aa-p^-1|
บารมี	b-aa-z^-0|r-a-z^-3|m-ii-z^-0|
บาลี	b-aa-z^-0|l-ii-z^-0|
บาหลี	b-aa-z^-0|l-ii-z^-4|
บำบัด	b-a-m^-0|b-a-t^-1|
บำรุง	b-a-m^-0|r-u-ng^-0|
บำเพ็ญ	b-a-m^-0|ph-e-n^-0|
บำเหน็จ	b-a-m^-0|n-e-t^-1|
บิณฑบาต	b-i-n^-0|th-a-z^-3|b-aa-t^-1|
บิดา	b-i-z^-1|d-aa-z^-0|
บิดเบือน	b-i-t^-1|b-vva-n^-0|
บิน	b-i-n^-0|
บีบ	b-ii-p^-1|
บีบคั้น	b-ii-p^-1|kh-a-n^-3|
บีบบังคับ	b-ii-p^-1|b-a-ng^-0|kh-a-p^-3|
บึง	b-v-ng^-0|
บุก	b-u-k^-1|
บุกรุก	b-u-k^-1|r-u-k^-3|
บุกเบิก	b-u-k^-1|b-qq-k^-1|
บุคคล	b-u-k^-1|kh-o-n^-0|
บุคลากร	b-u-k^-1|kh-a-z^-3|l-aa-z^-0|k-@@-n^-0|
บุคลิก	b-u-k^-1|kh-a-z^-3|l-i-k^-3|
บุคลิกภาพ	b-u-k^-1|kh-a-z^-3|l-i-k^-3|k-a-z^-1|ph-aa-p^-2|
บุคลิกลักษณะ	b-u-k^-1|kh-a-z^-3|l-i-k^-3|l-a-k^-3|s-a-z^-1|n-a-z^-1|
บุช	b-u-ch^-3|
บุญ	b-u-n^-0|
บุญชู	b-u-n^-0|ch-uu-z^-0|
บุตร	b-u-t^-1|
บุตรศรี	b-u-t^-1|s-ii-z^-4|
บุพกาล	b-u-p^-1|ph-a-z^-3|k-aa-n^-0|
บุรุษ	b-u-z^-1|r-u-t^-1|
บุหรี่	b-u-z^-1|r-ii-z^-1|
บูชา	b-uu-z^-0|ch-aa-z^-0|
บูรณปกรณ์	b-uu-z^-0|r-a-z^-3|n-a-z^-3|p-a-z^-1|k-@@-n^-0|
บูรณภาพ	b-uu-z^-0|r-a-z^-3|n-a-z^-3|ph-aa-p^-2|
บูรณะ	b-uu-z^-0|r-a-z^-3|n-a-z^-3|
บูรณาการ	b-uu-z^-0|r-a-z^-3|n-aa-z^-0|k-aa-n^-0|
บ่	b-@@-z^-1|
บ่ง	b-o-ng^-1|
บ่งชี้	b-o-ng^-1|ch-ii-z^-3|
บ่งถึง	b-o-ng^-1|th-v-ng^-4|
บ่งบอก	b-o-ng^-1|b-@@-k^-1|
บ่น	b-o-n^-1|
บ่นว่า	b-o-n^-1|w-aa-z^-2|
บ่อ	b-@@-z^-1|
บ่อย	b-@@-j^-1|
บ่อยครั้ง	b-@@-j^-1|khr-a-ng^-3|
บ่อเกิด	b-@@-z^-1|k-qq-t^-1|
บ่าย	b-aa-j^-1|
บ้า	b-aa-z^-2|
บ้าง	b-aa-ng^-2|
บ้าน	b-aa-n^-2|
บ้านเชียง	b-aa-n^-2|ch-iia-ng^-0|
บ้านเมือง	b-aa-n^-2|m-vva-ng^-0|
ป.	p-@@-z^-0|
ปก	p-o-k^-1|
ปกครอง	p-o-k^-1|khr-@@-ng^-0|
ปกติ	p-a-z^-1|k-a-z^-1|t-i-z^-1|
ปกติ	p-o-k^-1|k-a-z^-1|t-i-z^-1|
ปกป้อง	p-o-k^-1|p-@-ng^-2|
ปฏิกิริยา	p-a-z^-1|t-i-z^-1|k-i-z^-1|r-i-z^-3|j-aa-z^-0|
ปฏิชีวนะ	p-a-z^-1|t-i-z^-1|ch-ii-z^-0|w-a-z^-3|n-a-z^-3|
ปฏิญาณ	p-a-z^-1|t-i-z^-1|j-aa-n^-0|
ปฏิทิน	p-a-z^-1|t-i-z^-1|th-i-n^-0|
ปฏิบัติ	p-a-z^-1|t-i-z^-1|b-a-t^-1|
ปฏิบัติการ	p-a-z^-1|t-i-z^-1|b-a-t^-1|k-aa-n^-0|
ปฏิบัติงาน	p-a-z^-1|t-i-z^-1|b-a-t^-1|ng-aa-n^-0|
ปฏิบัติธรรม	p-a-z^-1|t-i-z^-1|b-a-t^-1|th-a-m^-0|
ปฏิปักษ์	p-a-z^-1|t-i-z^-1|p-a-k^-1|
ปฏิรูป	p-a-z^-1|t-i-z^-1|r-uu-p^-2|
ปฏิวัติ	p-a-z^-1|t-i-z^-1|w-a-t^-3|
ปฏิสัมพันธ์	p-a-z^-1|t-i-z^-1|s-a-m^-4|ph-a-n^-0|
ปฏิเสธ	p-a-z^-1|t-i-z^-1|s-ee-t^-1|
ปฐมภูมิ	p-a-z^-1|th-o-m^-4|ph-uu-m^-0|
ปน	p-o-n^-0|
ปมด้อย	p-o-m^-0|d-@-j^-2|
ปรก	pr-o-k^-1|
ปรกติ	pr-o-k^-1|k-a-z^-1|t-i-z^-1|
ปรปักษ์	p-@@-z^-0|r-a-z^-3|p-a-k^-1|
ปรมาจารย์	p-@@-z^-0|r-a-z^-3|m-aa-z^-0|c-aa-n^-0|
ปรองดอง	pr-@@-ng^-0|d-@@-ng^-0|
ประกอบ	pr-a-z^-1|k-@@-p^-1|
ประกอบการ	pr-a-z^-1|k-@@-p^-1|k-aa-n^-0|
ประกัน	pr-a-z^-1|k-a-n^-0|
ประการ	pr-a-z^-1|k-aa-n^-0|
ประกาศ	pr-a-z^-1|k-aa-t^-1|
ประคับประคอง	pr-a-z^-1|kh-a-p^-3|pr-a-z^-1|kh-@@-ng^-0|
ประจวบเหมาะ	pr-a-z^-1|c-uua-p^-1|m-@-z^-1|
ประจักษ์	pr-a-z^-1|c-a-k^-1|
ประจักษ์แจ้ง	pr-a-z^-1|c-a-k^-1|c-xx-ng^-2|
ประจำ	pr-a-z^-1|c-a-m^-0|
ประจำการ	pr-a-z^-1|c-a-m^-0|k-aa-n^-0|
ประจำตัว	pr-a-z^-1|c-a-m^-0|t-uua-z^-0|
ประจำปี	pr-a-z^-1|c-a-m^-0|p-ii-z^-0|
ประจำวัน	pr-a-z^-1|c-a-m^-0|w-a-n^-0|
ประชวร	pr-a-z^-1|ch-uua-n^-0|
ประชา	pr-a-z^-1|ch-aa-z^-0|
ประชากร	pr-a-z^-1|ch-aa-z^-0|k-@@-n^-0|
ประชาคม	pr-a-z^-1|ch-aa-z^-0|kh-o-m^-0|
ประชาชน	pr-a-z^-1|ch-aa-z^-0|ch-o-n^-0|
ประชาชาติ	pr-a-z^-1|ch-aa-z^-0|ch-aa-t^-2|
ประชาธิปัตย์	pr-a-z^-1|ch-aa-z^-0|th-i-z^-3|p-a-t^-1|
ประชาธิปไตย	pr-a-z^-1|ch-aa-z^-0|th-i-p^-3|p-a-z^-1|t-a-j^-0|
ประชาราษฎร์	pr-a-z^-1|ch-aa-z^-0|r-aa-t^-2|
ประชาสัมพันธ์	pr-a-z^-1|ch-aa-z^-0|s-a-m^-4|ph-a-n^-0|
ประชุม	pr-a-z^-1|ch-u-m^-0|
ประณาม	pr-a-z^-1|n-aa-m^-0|
ประณีต	pr-a-z^-1|n-ii-t^-2|
ประดับ	pr-a-z^-1|d-a-p^-1|
ประดิษฐ์	pr-a-z^-1|d-i-t^-1|
ประติมากร	pr-a-z^-1|t-i-z^-1|m-aa-z^-0|k-@@-n^-0|
ประติมากรรม	pr-a-z^-1|t-i-z^-1|m-aa-z^-0|k-a-m^-0|
ประตู	pr-a-z^-1|t-uu-z^-0|
ประถม	pr-a-z^-1|th-o-m^-4|
ประถมศึกษา	pr-a-z^-1|th-o-m^-4|s-v-k^-1|s-aa-z^-4|
ประทับ	pr-a-z^-1|th-a-p^-3|
